110_110_accumulated_energy,110_400_accumulated_energy,350_110_accumulated_energy
70.0,70.0,70.0
140.0,140.0,140.0
210.0,210.0,210.0
280.0,280.0,280.0
350.0,350.0,350.0
420.0,420.0,420.0
490.0,490.0,490.0
560.0,560.0,560.0
630.0,630.0,630.0
700.0,700.0,700.0
770.0,770.0,770.0
840.0,840.0,840.0
910.0,910.0,910.0
980.0,980.0,980.0
1050.0,1050.0,1050.0
1120.0,1120.0,1120.0
1190.0,1190.0,1190.0
1260.0,1260.0,1260.0
1330.0,1330.0,1330.0
1400.0,1400.0,1400.0
1470.0,1470.0,1470.0
1540.0,1540.0,1540.0
1610.0,1610.0,1610.0
1680.0,1680.0,1680.0
1750.0,1750.0,1750.0
1820.0,1820.0,1820.0
1890.0,1890.0,1890.0
1960.0,1960.0,1960.0
2030.0,2030.0,2030.0
2100.0,2100.0,2100.0
2170.0,2170.0,2170.0
2240.0,2240.0,2240.0
2310.0,2310.0,2310.0
2380.0,2380.0,2380.0
2450.0,2450.0,2450.0
2520.0,2520.0,2520.0
2590.0,2590.0,2590.0
2660.0,2660.0,2660.0
2730.0,2730.0,2730.0
2800.0,2800.0,2800.0
2870.0,2870.0,2870.0
2940.0,2940.0,2940.0
3010.0,3010.0,3010.0
3080.0,3080.0,3080.0
3150.0,3150.0,3150.0
3220.0,3220.0,3220.0
3290.0,3290.0,3290.0
3360.0,3360.0,3360.0
3430.0,3430.0,3430.0
3500.0,3500.0,3500.0
3570.0,3570.0,3570.0
3640.0,3640.0,3640.0
3710.0,3710.0,3710.0
3780.0,3780.0,3780.0
3850.0,3850.0,3850.0
3920.0,3920.0,3920.0
3990.0,3990.0,3990.0
4060.0,4060.0,4060.0
4130.0,4130.0,4130.0
4200.0,4200.0,4200.0
4270.0,4270.0,4270.0
4340.0,4340.0,4340.0
4410.0,4410.0,4410.0
4480.0,4480.0,4480.0
4550.0,4550.0,4550.0
4620.0,4620.0,4620.0
4690.0,4690.0,4690.0
4760.0,4760.0,4760.0
4830.0,4830.0,4830.0
4900.0,4900.0,4900.0
4970.0,4970.0,4970.0
5040.0,5040.0,5040.0
5110.0,5110.0,5110.0
5180.0,5180.0,5180.0
5250.0,5250.0,5250.0
5320.0,5320.0,5320.0
5390.0,5390.0,5390.0
5460.0,5460.0,5460.0
5530.0,5530.0,5530.0
5600.0,5600.0,5600.0
5670.0,5670.0,5670.0
5740.0,5740.0,5740.0
5810.0,5810.0,5810.0
5880.0,5880.0,5880.0
5950.0,5950.0,5950.0
6020.0,6020.0,6020.0
6090.0,6090.0,6090.0
6160.0,6160.0,6160.0
6230.0,6230.0,6230.0
6300.0,6300.0,6300.0
6370.0,6370.0,6370.0
6440.0,6440.0,6440.0
6510.0,6510.0,6510.0
6580.0,6580.0,6580.0
6650.0,6650.0,6650.0
6720.0,6720.0,6720.0
6790.0,6790.0,6790.0
6860.0,6860.0,6860.0
6930.0,6930.0,6930.0
7000.0,7000.0,7000.0
7070.0,7070.0,7070.0
7140.0,7140.0,7140.0
7210.0,7210.0,7210.0
7280.0,7280.0,7280.0
7350.0,7350.0,7350.0
7420.0,7420.0,7420.0
7490.0,7490.0,7490.0
7560.0,7560.0,7560.0
7630.0,7630.0,7630.0
7700.0,7700.0,7700.0
7770.0,7770.0,7770.0
7840.0,7840.0,7840.0
7910.0,7910.0,7910.0
7980.0,7980.0,7980.0
8050.0,8050.0,8050.0
8120.0,8120.0,8120.0
8190.0,8190.0,8190.0
8260.0,8260.0,8260.0
8330.0,8330.0,8330.0
8400.0,8400.0,8400.0
8470.0,8470.0,8470.0
8540.0,8540.0,8540.0
8610.0,8610.0,8610.0
8680.0,8680.0,8680.0
8750.0,8750.0,8750.0
8820.0,8820.0,8820.0
8890.0,8890.0,8890.0
8960.0,8960.0,8960.0
9030.0,9030.0,9030.0
9100.0,9100.0,9100.0
9170.0,9170.0,9170.0
9240.0,9240.0,9240.0
9310.0,9310.0,9310.0
9380.0,9380.0,9380.0
9450.0,9450.0,9450.0
9520.0,9520.0,9520.0
9590.0,9590.0,9590.0
9660.0,9660.0,9660.0
9730.0,9730.0,9730.0
9800.0,9800.0,9800.0
9870.0,9870.0,9870.0
